Event	ID	Name			Wwise Object Path	Notes
	1501818189	Play_Room_Tones			\Default Work Unit\Ambiance\Play_Room_Tones	
	2547633870	Play_Door			\Default Work Unit\Interact\Play_Door	
	2618673757	Play_Footsteps_Walk			\Default Work Unit\Character\Play_Footsteps_Walk	
	2700195184	Play_Screams			\Default Work Unit\Monster\Play_Screams	
	2983625421	Play_Footsteps_Run			\Default Work Unit\Character\Play_Footsteps_Run	
	3698047240	Play_Breath			\Default Work Unit\Character\Play_Breath	

Switch Group	ID	Name			Wwise Object Path	Notes
	1877847629	Door			\Default Work Unit\Door	
	1880793925	Floor_Texture			\Default Work Unit\Floor_Texture	

Switch	ID	Name	Switch Group			Notes
	1451272583	Close	Door			
	3072142513	Open	Door			
	2058049674	Wood	Floor_Texture			
	2412606308	Carpet	Floor_Texture			

State Group	ID	Name			Wwise Object Path	Notes
	1069431850	Player			\Default Work Unit\Player	

State	ID	Name	State Group			Notes
	748895195	None	Player			
	1874288895	Idle	Player			
	3214304800	Spotted	Player			

Custom State	ID	Name	State Group	Owner		Notes
	284041805	Idle	Player	\Actor-Mixer Hierarchy\Global_GameJam\Character\Breath\Heartbeats_seq		
	292728733	Spotted	Player	\Actor-Mixer Hierarchy\Global_GameJam\Character\Breath\Idle		
	303626085	Idle	Player	\Actor-Mixer Hierarchy\Global_GameJam\Monster\Vocalizations\Screams\Spotted		
	318788067	Spotted	Player	\Actor-Mixer Hierarchy\Global_GameJam\Monster\Vocalizations\Screams\Idle		
	617047644	Idle	Player	\Actor-Mixer Hierarchy\Global_GameJam\Character\Breath\stereo_effect\Breath_Stress_lp_calm		
	667644131	Idle	Player	\Actor-Mixer Hierarchy\Global_GameJam\Character\Breath\stereo_effect		
	810831884	Idle	Player	\Actor-Mixer Hierarchy\Global_GameJam\Character\Breath\stereo_effect\Breath_Stress_lp		
	958733849	Spotted	Player	\Actor-Mixer Hierarchy\Global_GameJam\Character\Breath\Idle\Breath_Idle_lp		

Game Parameter	ID	Name			Wwise Object Path	Notes
	1062779386	Player_Speed			\Default Work Unit\Player_Speed	
	1289058627	Stress_Intensity			\Default Work Unit\Stress_Intensity	

Effect plug-ins	ID	Name	Type				Notes
	72160435	Wwise_Time_Stretch_(Custom)	Wwise Time Stretch			
	900693427	Wwise_Time_Stretch_(Custom)	Wwise Time Stretch			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2627760	Room_Tone_A_02	D:\Enjmin\Projets\GlobalGame Jam\Repo_Wwise\Global_GameJam\.cache\Windows\SFX\Ambiance_lp_6D419472.wem		\Actor-Mixer Hierarchy\Global_GameJam\Ambiance\Room_Tones\Room_Tone_A_lp\Room_Tone_A_02		7250036
	8552677	Footsteps_Walk_Wood-001	D:\Enjmin\Projets\GlobalGame Jam\Repo_Wwise\Global_GameJam\.cache\Windows\SFX\Footsteps_Walk_Wood-001_10C4C929.wem		\Actor-Mixer Hierarchy\Global_GameJam\Character\Footsteps\Footsteps_Walk\Walk_Wood\Footsteps_Walk_Wood-001		96064
	9620038	Footsteps_Walk_Wood-007	D:\Enjmin\Projets\GlobalGame Jam\Repo_Wwise\Global_GameJam\.cache\Windows\SFX\Footsteps_Walk_Wood-007_10C4C929.wem		\Actor-Mixer Hierarchy\Global_GameJam\Character\Footsteps\Footsteps_Walk\Walk_Wood\Footsteps_Walk_Wood-007		96064
	23883776	Monster_Idle_Tone_02	D:\Enjmin\Projets\GlobalGame Jam\Repo_Wwise\Global_GameJam\.cache\Windows\SFX\Monster_Idle_Tone_A98017A4.wem		\Actor-Mixer Hierarchy\Global_GameJam\Monster\Vocalizations\Screams\Idle\Tone\Monster_Idle_Tone_02		1251024
	25758876	Door_Close_B-002	D:\Enjmin\Projets\GlobalGame Jam\Repo_Wwise\Global_GameJam\.cache\Windows\SFX\Door_Close_B-002_10C4C929.wem		\Actor-Mixer Hierarchy\Global_GameJam\Interact\Door\DoorB\Close\Door_Close_B-002		236400
	28183169	Monster_Idle_Rnd-004	D:\Enjmin\Projets\GlobalGame Jam\Repo_Wwise\Global_GameJam\.cache\Windows\SFX\Monster_Idle_Rnd-004_10C4C929.wem		\Actor-Mixer Hierarchy\Global_GameJam\Monster\Vocalizations\Screams\Idle\Screams_Rnd\Monster_Idle_Rnd-004		252570
	49869655	Footsteps_Walk_Carpet-002	D:\Enjmin\Projets\GlobalGame Jam\Repo_Wwise\Global_GameJam\.cache\Windows\SFX\Footsteps_Walk_Carpet-002_10C4C929.wem		\Actor-Mixer Hierarchy\Global_GameJam\Character\Footsteps\Footsteps_Walk\Walk_Carpet\Footsteps_Walk_Carpet-002		96064
	49964382	Footsteps_Walk_Wood-003	D:\Enjmin\Projets\GlobalGame Jam\Repo_Wwise\Global_GameJam\.cache\Windows\SFX\Footsteps_Walk_Wood-003_10C4C929.wem		\Actor-Mixer Hierarchy\Global_GameJam\Character\Footsteps\Footsteps_Walk\Walk_Wood\Footsteps_Walk_Wood-003		96064
	85314224	Door_Close_A-002	D:\Enjmin\Projets\GlobalGame Jam\Repo_Wwise\Global_GameJam\.cache\Windows\SFX\Door_Close_A-002_10C4C929.wem		\Actor-Mixer Hierarchy\Global_GameJam\Interact\Door\DoorA\Close\Door_Close_A-002		165152
